"Sample01" "Sample02" "Sample03" "Sample04" "Sample05" "Sample06" "Sample07" "Sample08" "Sample09" "Sample10" "Sample11" "Sample12" "Sample13" "Sample14" "Sample15" "Sample16" "Sample17" "Sample18" "Sample19" "Sample20" "Sample21" "Sample22" "Sample23" "Sample24" "Sample25" "Sample26" "Sample27" "Sample28" "Sample29" "Sample30" "Sample31" "Sample32" "Sample33" "Sample34" "Sample35" "Sample36" "Sample37" "Sample38" "Sample39" "Sample40" "Sample41" "Sample42" "Sample43" "Sample44" "Sample45" "Sample46" "Sample47" "Sample48" "Sample49" "Sample50" "Sample51" "Sample52" "Sample53" "Sample54" "Sample55" "Sample56" "Sample57" "Sample58" "Sample59" "Sample60" "Sample61" "Sample62" "Sample63"
"Microbe32" 1 0 0 0 0 2 3 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 2 0 0 3 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe33" 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 5 0 1 0 0 0 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 3 0 0 0 0
"Microbe34" 3 0 0 2 4 0 7 0 1 2 0 3 0 0 0 0 0 0 0 0 3 0 0 0 1 1 0 1 0 0 0 7 1 1 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe35" 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 1 0 15 0 0 0 0 0 1 1 0 10 1 2 20 0 1 0 0 2 0 0 0 0 0 3 0 3 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe36" 2 0 1 1 1 6 3 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe37" 268 36 32 265 124 154 27 29 59 84 1 245 2 59 164 2 509 0 0 6 615 1 33 3 129 35 15 158 78 192 51 11 38 1 7 4 11 0 5 15 2 13 0 5 101 97 0 1 0 0 0 25 2 100 3 0 7 1 4 0 0 0 0
"Microbe38" 1 0 0 2 1 19 9 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 5 0 2 5 0 2 2 0 0 6 3 0 0 0 0 1 0 1 0 0 0 0 2 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Microbe39" 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe40" 0 1 0 1 0 1 15 56 3 0 5 0 0 3 0 21 0 0 4 7 0 3 3 41 2 20 0 0 4 1 0 5 1 43 19 19 2 61 0 41 1 0 3 5 0 1 1 1 5 0 3 0 0 0 22 0 0 1 0 0 0 0 0
"Microbe41" 0 0 0 0 0 1 28 0 0 0 9 0 0 3 0 0 0 0 6 24 0 10 1 0 3 65 1 0 0 0 0 3 0 1 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe42" 0 0 0 1 0 0 42 3 0 0 0 0 0 3 0 1 0 0 0 6 0 0 0 2 0 5 0 0 0 2 0 9 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe43" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 0 2 0 0 0 4 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe44" 1 1 12 4 0 0 1 19 10 1 0 1 0 1 0 5 0 0 0 2 1 5 1 0 0 2 3 4 0 3 0 0 0 1 0 0 0 15 0 3 0 0 3 0 1 6 0 0 0 1 1 0 0 1 3 0 0 0 0 0 0 0 0
"Microbe45" 0 0 0 0 0 2 29 2 0 0 0 0 0 0 0 0 2 0 1 1 0 0 2 0 0 0 2 1 0 1 0 51 0 2 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
"Microbe46" 3 1 71 103 5 32 99 0 0 2 0 0 1 1 2 2 4 0 2 10 2 2 2 133 35 82 0 2 2 89 0 22 0 1 0 2 0 1 0 14 0 0 3 2 0 39 1 0 2 1 1 0 0 0 1 0 0 0 0 0 0 0 0
"Microbe47" 2 2 2 1 0 1 0 2 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 2 0 0 1 2 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe48" 712 617 821 384 412 175 526 1646 253 448 19 216 6 179 352 171 694 31 23 216 195 42 115 572 483 440 350 365 547 262 252 306 108 199 529 16 109 214 14 605 102 65 30 454 381 1140 7 57 39 12 1 25 1 128 188 8 29 0 12 7 0 5 0
"Microbe49" 32 16 4 9 16 0 7 15 1 19 0 0 0 1 9 7 23 0 1 12 0 0 0 14 16 31 2 3 0 2 0 1 1 0 7 2 1 25 0 8 0 0 0 4 2 0 0 0 0 0 0 0 0 1 7 0 0 0 0 0 0 0 0
"Microbe50" 0 0 0 0 0 2 0 2 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe51" 2 0 1 1 2 2 29 0 0 0 0 10 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 6 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe52" 0 26 1 7 0 0 6 1 11 2 8 1 0 1 1 1 2 1 3 141 0 0 1 29 0 14 0 3 1 1 2 0 3 0 0 0 0 3 0 11 0 4 0 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Microbe53" 1 0 1 0 1 2 0 7 1 0 0 2 0 2 0 0 0 0 1 0 1 12 2 6 0 0 1 1 4 1 1 0 2 12 0 2 0 10 0 8 0 0 2 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Microbe54" 0 9 16 234 2 22 100 972 30 1 18 28 3 48 60 54 0 8 12 72 64 18 26 133 85 450 62 1 42 47 119 42 28 137 320 50 28 108 4 229 10 11 16 67 0 7 3 21 20 3 12 5 1 0 19 8 0 0 6 0 0 2 0
"Microbe55" 7 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe56" 0 0 0 0 0 0 12 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 0 0 13 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe57" 1 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 3 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe58" 1 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe59" 6 1 9 3 3 17 3 0 60 0 0 18 0 2 3 0 28 4 0 1 5 1 17 0 1 0 0 8 2 1 6 0 1 0 0 1 0 35 0 5 0 2 15 0 7 2 0 0 1 2 1 1 0 4 2 0 0 0 0 0 0 0 0
