"Sample01" "Sample02" "Sample03" "Sample04" "Sample05" "Sample06" "Sample07" "Sample08" "Sample09" "Sample10" "Sample11" "Sample12" "Sample13" "Sample14" "Sample15" "Sample16" "Sample17" "Sample18" "Sample19" "Sample20" "Sample21" "Sample22" "Sample23" "Sample24" "Sample25" "Sample26" "Sample27" "Sample28" "Sample29" "Sample30" "Sample31" "Sample32" "Sample33" "Sample34" "Sample35" "Sample36" "Sample37" "Sample38" "Sample39" "Sample40" "Sample41" "Sample42" "Sample43" "Sample44" "Sample45" "Sample46" "Sample47" "Sample48" "Sample49" "Sample50" "Sample51" "Sample52" "Sample53" "Sample54" "Sample55" "Sample56" "Sample57" "Sample58" "Sample59" "Sample60" "Sample61" "Sample62" "Sample63"
"Microbe799" 0 0 0 0 1 0 1 3 4 1 0 0 0 0 0 0 6 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe800" 0 0 0 0 0 0 0 11 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe801" 3 0 0 0 0 3 0 2 0 0 0 4 0 0 0 0 2 0 0 0 0 0 1 0 0 0 4 0 3 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe802" 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Microbe803" 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 1 0 0 1 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0
"Microbe804" 0 0 2 1 0 0 5 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 1 0 4 0 0 0 2 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Microbe805" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe806" 22 1 1 44 13 0 1 0 0 1 0 0 0 0 5 0 2 0 0 2 0 0 6 0 2 2 0 4 15 1 3 0 0 0 0 1 0 0 0 4 1 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Microbe807" 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe808" 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"Microbe809" 1 0 1 0 0 6 2 0 0 1 0 1 0 0 1 0 3 0 0 0 0 0 3 1 1 0 1 1 0 0 1 7 1 1 0 4 2 0 0 2 0 0 1 0 0 2 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Microbe810" 3 0 0 1 1 0 1 2 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe811" 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 2 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"Microbe812" 0 0 0 0 0 0 73 5 0 0 0 0 0 15 0 6 0 0 0 7 0 15 2 2 0 124 8 0 0 0 7 90 0 17 1 7 2 94 0 9 9 0 2 2 0 0 4 1 1 0 8 0 0 0 8 1 0 0 0 1 0 0 0
"Microbe813" 0 0 0 1 0 0 0 0 0 0 2 12 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe814" 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe815" 1 0 0 2 4 10 40 66 0 0 7 5 0 45 0 4 0 0 1 7 5 0 11 16 0 1 19 0 2 0 0 15 4 7 26 3 6 5 2 3 0 2 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 1 0 0 0 0 0
"Microbe816" 0 0 0 0 0 0 0 52 0 0 0 0 0 0 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe817" 5 0 1 1 0 5 2 0 1 0 0 1 0 2 0 0 2 0 0 0 0 0 5 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Microbe818" 0 0 0 0 0 1 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0
"Microbe819" 1 0 0 93 2 18 5 3 1 1 0 0 0 0 8 0 0 0 0 45 0 0 0 0 8 1 0 0 3 15 0 1 2 0 2 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0
"Microbe820" 1327 1717 1589 680 957 505 180 754 2065 763 9 667 4 97 416 104 92 9 1 46 611 138 64 335 280 121 58 791 779 209 112 47 74 80 146 23 21 78 6 121 59 55 4 86 828 865 47 35 3 2 11 41 3 12 130 127 8 0 20 5 0 0 0
"Microbe821" 0 0 1 0 0 1 17 7 0 0 1 0 0 7 0 2 0 0 0 1 1 0 1 10 0 2 5 0 0 0 1 5 1 21 2 2 0 1 0 10 0 2 2 3 0 0 0 1 1 0 1 0 0 0 4 0 0 0 0 0 0 0 0
"Microbe822" 0 0 1 0 0 2 2 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe823" 1 0 0 0 0 3 1 5 1 0 0 3 0 0 0 2 0 0 0 0 7 0 0 0 2 0 0 0 0 2 0 0 0 2 2 5 0 38 1 3 0 0 1 0 1 3 0 0 0 1 3 0 0 0 1 0 0 0 0 0 0 0 0
"Microbe824" 4 30 52 15 4 1 10 0 7 20 0 1 2 9 5 3 0 1 0 0 0 1 3 0 17 1 3 4 141 4 5 2 0 0 0 6 0 0 1 0 2 0 0 4 0 36 1 1 0 0 0 0 0 0 1 0 4 0 0 2 0 0 0
"Microbe825" 1 1 6 3 3 11 40 81 17 1 1 8 0 85 0 1 27 0 2 21 1 70 60 0 0 2 35 65 2 0 2 30 0 0 19 0 7 2 2 4 0 0 0 2 26 5 7 0 1 0 0 4 0 0 3 0 0 0 0 0 0 0 1
"Microbe826" 0 1 2 1 0 1 9 4 4 0 0 0 0 0 1 0 3 0 0 1 0 0 6 0 0 0 1 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 2 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe827" 0 87 1 9 0 5 40 27 0 53 18 4 0 50 4 19 0 0 1 4 9 7 15 226 22 614 3 1 18 1 1 63 4 83 11 3 1 42 5 55 2 3 5 24 0 1 0 0 0 2 2 2 0 0 66 1 1 0 1 0 0 2 2
"Microbe828" 2 6 0 3 0 1 109 54 0 0 16 2 2 40 0 26 0 107 4 2 1 838 6 24 51 134 30 0 5 19 3 18 1 52 21 7 13 477 5 47 0 0 23 91 1 1 30 5 7 11 2 0 0 0 53 0 1 0 0 0 0 0 0
"Microbe829" 0 0 2 0 0 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 4 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe830" 3 0 1 0 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe831" 0 0 0 0 0 0 43 2 0 0 4 0 0 31 0 0 0 0 1 3 0 0 1 2 0 1 2 0 0 0 0 22 1 17 0 1 1 1 2 13 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe832" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe833" 0 0 0 4 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 0 0 1 1 3 1 0 0 1 0 0 1 0 0 0 0 0 3 0 0 0 1 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0
"Microbe834" 0 0 0 1 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 3 1 0 0 0 6 3 3 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0
"Microbe835" 0 0 0 0 0 0 0 0 0 0 1 4 0 0 0 0 0 0 0 0 1 0 0 0 2 0 1 0 0 0 0 3 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe836" 0 0 0 24 0 0 88 349 0 0 1 0 0 22 0 14 0 0 2 120 1 0 4 42 22 29 18 0 0 13 11 38 1 505 58 2 6 857 0 112 0 1 64 4 0 1 0 6 3 0 42 0 0 0 297 0 0 0 1 0 0 0 0
"Microbe837" 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 5 0 1 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe838" 11 16 1866 29 9 79 15 608 572 2 5 67 2 57 410 16 148 12 11 48 106 1 34 27 57 141 28 4 7 128 37 0 95 27 120 11 13 6 4 90 2 81 12 38 2 1405 0 5 14 59 1 2 3 7 15 0 0 2 0 0 2 0 0
"Microbe839" 2 0 0 1 0 3 4 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe840" 0 0 1 0 0 3 5 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 0 2 0 0 0 0 16 2 1 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe841" 0 0 0 0 0 2 0 35 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe842" 3 2 0 3 1 0 2 2 1 0 0 1 0 1 0 0 1 0 0 0 2 0 0 1 1 1 0 2 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe843" 0 0 0 0 0 2 24 3 1 0 0 3 0 7 0 1 0 0 1 1 0 18 1 11 0 8 10 0 0 1 0 13 0 4 4 0 5 0 1 7 2 0 2 2 0 0 3 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"Microbe844" 11 229 14 80 6 1 502 55 11 83 23 4 1 162 72 125 0 2 2 72 0 61 22 55 15 29 54 7 94 13 42 456 8 158 13 23 17 560 9 66 16 2 18 9 0 18 4 5 10 2 9 1 0 0 128 6 3 2 0 1 0 0 0
"Microbe845" 0 0 0 0 0 1 52 64 2 0 10 0 0 71 0 16 0 1 0 8 0 1 1 9 3 4 3 0 3 1 4 44 1 50 27 0 0 20 10 4 3 0 2 0 0 0 1 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0
"Microbe846" 1 48 138 1 2 9 9 270 157 18 0 14 0 8 13 19 4 0 0 7 9 0 57 17 1 10 81 0 16 1 0 0 24 15 56 10 19 96 3 62 1 24 67 0 0 58 0 0 36 13 53 0 0 0 4 0 1 0 1 0 0 0 0
"Microbe847" 0 0 0 0 0 1 2 0 0 0 0 3 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe848" 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 48 2 5 0 1 1 0 0 0 1 0 0 0 0 1 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe849" 0 60 0 16 0 1 3 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 1 0 0 4 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe850" 1 11 8 39 1 0 53 9 37 10 202 4 1 29 45 4 1 6 34 713 0 25 3 323 64 269 3 44 60 2 2 11 32 511 6 3 0 18 0 290 7 30 2 64 3 11 0 4 0 0 4 0 0 0 49 4 1 0 0 0 0 3 0
"Microbe851" 16 2 3 2 5 13 364 0 10 1 0 1 0 16 12 0 10 7 1 0 214 0 14 70 0 0 0 14 3 0 19 76 1 36 0 44 0 158 2 10 0 0 6 6 20 0 0 1 6 0 4 0 3 0 6 0 0 1 0 0 0 0 0
"Microbe852" 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 6 0 0 0 0 3 1 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe853" 3 1 29 7 6 39 11 2 1 1 0 18 0 0 4 4 27 0 0 1 29 0 0 2 5 0 0 12 4 6 6 2 4 6 0 19 0 11 0 4 0 0 0 0 11 7 0 0 0 0 2 1 1 3 6 0 0 1 0 0 0 0 0
"Microbe854" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 1 3 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe855" 0 0 0 0 0 0 0 223 3 0 0 0 0 0 0 10 0 0 2 3 0 0 1 1 0 0 4 0 1 0 0 0 0 12 62 2 1 36 0 210 0 0 84 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe856" 10 0 0 1 0 36 0 0 1 1 0 5 0 0 0 0 3 0 0 0 6 0 0 0 1 0 0 3 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 19 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Microbe857" 0 0 0 2 0 44 25 3 0 0 0 2 0 1 0 1 0 0 0 4 1 1 0 4 2 19 0 0 0 0 0 13 2 6 0 36 0 86 1 4 1 2 13 0 1 0 0 0 0 0 2 5 0 0 0 0 0 0 0 0 0 0 0
"Microbe858" 4 0 0 0 3 3 1 13 0 1 0 1 0 0 2 2 0 0 0 0 1 0 0 2 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe859" 0 0 1 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 2 0 0 1 0 1 0 4 0 2 0 0 0 0 0 1 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe860" 2 22 180 3 0 0 6 6 14 4 1 2 0 7 0 10 0 0 0 0 0 7 1 13 1 0 0 11 52 12 2 1 0 0 9 0 0 0 0 38 4 0 7 1 1 640 2 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe861" 1 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"Microbe862" 1 1 6 1 0 4 0 0 0 0 0 0 0 0 2 0 7 0 0 0 0 0 2 0 2 0 0 2 0 0 3 5 0 1 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe863" 0 0 0 0 2 0 30 218 0 0 10 0 0 11 0 15 0 24 7 4 0 19 0 19 0 64 43 1 10 0 0 4 2 6 180 1 21 5 0 34 1 14 8 24 0 0 0 0 9 3 3 0 0 0 1 0 0 0 0 0 0 0 0
"Microbe864" 0 0 0 5 0 3 360 66 0 0 1 1 1 29 0 0 0 0 0 2 1 55 10 122 6 76 31 0 0 12 0 376 1 1 9 2 15 5 5 15 1 0 0 0 1 0 4 0 0 9 0 2 0 0 0 0 0 0 0 0 0 0 0
"Microbe865" 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 2 2 0 1 0 0 0 1 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Microbe866" 0 0 1 0 0 0 2 0 0 0 0 0 0 7 0 1 3 0 0 0 0 0 5 0 0 0 13 0 1 0 0 1 0 1 2 0 1 247 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 116 0 0 0 0 0 0 0 0
"Microbe867" 0 0 4 1 0 3 10 0 0 0 0 1 0 0 1 0 2 2 0 0 0 0 10 0 0 0 3 1 1 0 2 8 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 2
"Microbe868" 0 0 0 0 0 0 16 14 0 0 0 0 0 9 0 7 0 0 0 8 0 0 3 2 0 4 4 0 0 1 0 5 0 74 6 0 2 2 2 71 2 0 7 1 0 0 0 0 0 0 1 0 0 0 3 0 0 0 0 0 0 0 0
"Microbe869" 0 0 0 0 0 0 0 202 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 6 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe870" 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 0 1 1 0 1 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe871" 2 2 11 2 1 7 5 0 2 1 0 3 1 0 0 0 32 0 0 3 0 1 7 1 1 1 0 7 0 2 2 1 1 0 0 1 0 0 0 0 0 0 0 0 9 6 0 0 0 2 0 1 0 1 0 0 0 0 1 0 0 0 0
"Microbe872" 0 1 0 0 0 0 0 0 0 0 12 1 0 5 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 2 0 4 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"Microbe873" 0 0 0 1 0 1 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 1 1 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe874" 3 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe875" 8 0 37 50 8 42 33 584 45 1 0 21 5 34 26 6 34 20 1 3 17 124 249 39 60 23 315 3 2 25 0 11 1 6 99 7 112 4153 1 178 0 4 55 4 16 13 15 0 4 6 24 4 0 1 1103 0 0 0 2 0 0 0 3
"Microbe876" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 3 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe877" 0 0 0 0 0 0 3 0 0 0 0 3 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe878" 0 0 1 0 0 1 2 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 2 0 1 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe879" 1 6 0 8 3 2 0 1 3 3 0 1 0 115 8 1 0 2 0 1 0 0 1 0 9 0 1 0 29 4 0 0 1 0 0 3 0 1 7 0 0 0 1 3 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0
"Microbe880" 9 2 39 3 3 0 1 10 5 0 0 0 0 30 0 32 21 4 1 72 9 4 54 17 0 21 50 0 4 2 3 1 0 0 2 13 12 3 3 86 0 1 16 2 0 30 0 0 17 6 0 0 0 0 0 1 0 1 0 0 0 0 0
"Microbe881" 0 0 1 3 0 4 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 4 0 0 0 3 0 2 0 1 31 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe882" 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 2 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe883" 1 0 0 0 1 4 2 0 0 0 0 2 0 0 0 0 6 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Microbe884" 2 0 1 0 5 6 0 2 3 0 0 27 0 0 0 0 4 0 0 0 2 0 0 0 0 0 0 1 4 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe885" 2 0 23 77 2 20 414 389 15 1 14 22 0 75 39 54 0 12 16 186 6 33 21 182 39 117 113 0 101 42 143 156 38 320 111 58 36 74 7 182 27 28 33 76 2 31 8 42 8 1 31 4 1 0 218 2 1 2 1 2 0 0 0
"Microbe886" 3 0 1 0 1 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe887" 60 92 7 20 28 27 24 38 12 20 5 116 0 27 76 14 46 0 0 49 23 7 22 59 17 15 12 34 21 5 214 43 42 17 12 3 1 25 1 46 33 5 1 27 12 34 0 28 2 0 1 2 0 25 17 0 1 0 1 3 0 0 56
"Microbe888" 0 4 1 0 0 0 0 0 0 2 12 2 0 0 0 0 1 0 0 1 0 1 0 1 0 1 0 0 6 0 0 1 1 15 0 2 0 4 0 1 6 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
"Microbe889" 0 0 0 0 0 0 1362 20 0 0 11 0 0 130 0 25 0 1 13 320 0 0 29 60 0 35 6 0 0 2 1 1337 15 1001 7 49 4 285 10 176 1 12 6 7 0 0 0 0 0 0 101 1 0 0 233 0 0 2 0 0 0 0 0
"Microbe890" 1 0 0 3 0 5 4 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 4 0 0 0 2 0 2 1 0 2 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe891" 1 0 1 0 1 7 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
"Microbe892" 7 1 0 0 4 0 0 0 0 3 0 0 0 0 2 0 7 0 0 0 0 0 0 1 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 4 0 0 0 0 2 0 0 0 0
"Microbe893" 0 0 0 0 0 0 0 22 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe894" 3 125 3 2 1 0 11 0 1 60 0 4 0 0 3 1 5 0 0 0 10 1 1 3 4 0 0 50 11 0 0 10 0 0 0 0 1 0 0 0 0 0 0 0 18 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
"Microbe895" 1 0 1 0 0 48 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe896" 1 0 0 0 0 1 0 0 0 0 1 2 0 1 0 0 0 0 0 1 0 0 0 0 5 3 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe897" 0 0 0 3 1 4 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe898" 14 11 5 774 5 81 431 123 7 18 65 16 8 28 39 6 0 4 0 127 29 17 5 84 268 273 34 0 46 208 412 144 112 18 28 6 14 24 1 31 4 47 0 118 0 4 2 76 0 0 0 6 0 0 53 0 1 0 0 1 0 0 0
"Microbe899" 1428 188 341 125 1652 133 725 114 170 89 0 48 1 11 76 43 745 2 0 0 115 10 102 14 50 3 70 528 34 198 0 111 15 1 14 9 28 3 0 0 2 23 0 10 98 692 2 1 3 3 0 7 0 127 0 0 1 0 7 0 0 0 0
